CustomerID,Province,Risk_Score,Nb_releves,Fraudes,Priorité
C000105,Khémisset,100.0,38,29,Critique
C000285,Salé,99.21,39,28,Critique
C000229,Salé,98.95,33,26,Critique
C000067,Salé,98.53,33,26,Critique
C000350,Skhirate-Témara,98.29,20,12,Critique
C000950,Skhirate-Témara,97.83,35,31,Critique
C000219,Kénitra,96.54,28,17,Critique
C001938,Rabat,95.92,36,19,Critique
C001620,Skhirate-Témara,95.88,24,15,Critique
C001791,Rabat,95.49,34,13,Critique
C001934,Salé,95.33,14,8,Critique
C000920,Khémisset,95.19,38,22,Critique
C001097,Rabat,95.17,25,9,Critique
C000013,Rabat,94.75,18,14,Critique
C001415,Kénitra,94.22,37,10,Critique
C001045,Skhirate-Témara,94.14,37,14,Critique
C000544,Salé,93.89,37,22,Critique
C001722,Rabat,93.49,36,19,Critique
C000424,Rabat,93.3,26,19,Critique
C001916,Rabat,93.25,39,17,Critique
C001615,Rabat,92.76,19,11,Critique
C000446,Salé,92.4,25,18,Critique
C000761,Kénitra,92.14,32,7,Critique
C000526,Salé,92.05,15,9,Critique
C001062,Kénitra,91.07,27,7,Critique
C001100,Khémisset,90.93,37,17,Critique
C000543,Rabat,90.75,26,11,Critique
C000646,Kénitra,89.94,31,16,Critique
C001111,Kénitra,89.88,25,1,Critique
C000406,Rabat,89.7,29,1,Critique
C002007,Kénitra,89.6,39,1,Critique
C001296,Kénitra,89.51,38,17,Critique
C001487,Kénitra,89.48,34,0,Critique
C000299,Kénitra,89.21,35,1,Critique
C000071,Skhirate-Témara,88.81,35,0,Critique
C000177,Kénitra,88.58,37,1,Critique
C000422,Rabat,88.52,21,1,Critique
C001868,Rabat,88.51,25,11,Critique
C000144,Khémisset,88.45,13,6,Critique
C001207,Sidi Kacem,88.4,29,10,Critique
C000061,Rabat,88.22,27,1,Critique
C001497,Khémisset,88.18,27,9,Critique
C000388,Kénitra,87.43,25,13,Critique
C001919,Rabat,86.8,37,1,Critique
C000576,Khémisset,86.74,22,8,Critique
C000060,Kénitra,86.73,31,16,Critique
C001163,Salé,86.59,31,14,Critique
C001725,Khémisset,86.11,17,1,Critique
C001990,Rabat,86.09,28,1,Critique
C000613,Skhirate-Témara,85.55,20,1,Critique
C000959,Rabat,85.34,24,1,Critique
C002010,Skhirate-Témara,85.31,22,1,Critique
C000391,Kénitra,85.28,10,2,Critique
C000313,Kénitra,85.23,28,12,Critique
C001450,Sidi Kacem,84.94,39,1,Critique
C001644,Kénitra,84.71,39,1,Critique
C002015,Kénitra,84.46,37,32,Critique
C000417,Salé,84.44,30,2,Critique
C000551,Kénitra,84.4,18,2,Critique
C000659,Rabat,84.32,34,0,Critique
C000053,Rabat,84.29,28,0,Critique
C000953,Salé,84.26,27,2,Critique
C000314,Skhirate-Témara,84.26,28,1,Critique
C000990,Khémisset,84.2,14,5,Critique
C001312,Skhirate-Témara,84.18,38,1,Critique
C001287,Rabat,84.11,28,4,Critique
C000122,Rabat,84.06,31,1,Critique
C000547,Rabat,84.03,12,1,Critique
C001898,Sidi Kacem,83.95,11,1,Critique
C001506,Skhirate-Témara,83.92,18,2,Critique
C001441,Rabat,83.8,14,1,Critique
C001683,Salé,83.73,33,0,Critique
C000378,Skhirate-Témara,83.7,13,1,Critique
C001834,Kénitra,83.7,13,1,Critique
C000934,Salé,83.62,10,1,Critique
C000824,Kénitra,83.54,23,1,Critique
C001850,Skhirate-Témara,83.5,30,1,Critique
C000327,Rabat,83.45,21,0,Critique
C001184,Skhirate-Témara,83.36,16,1,Critique
C001131,Rabat,83.32,21,10,Critique
C001280,Salé,83.3,16,1,Critique
C001842,Kénitra,83.27,36,1,Critique
C000769,Sidi Slimane,83.22,18,1,Critique
C000938,Kénitra,83.22,35,1,Critique
C001789,Rabat,83.14,39,1,Critique
C001154,Rabat,83.05,10,1,Critique
C001041,Rabat,82.93,23,1,Critique
C001559,Salé,82.92,39,2,Critique
C001946,Rabat,82.91,38,1,Critique
C000217,Sidi Kacem,82.9,21,1,Critique
C001222,Salé,82.89,15,1,Critique
C000478,Salé,82.81,30,5,Critique
C000706,Kénitra,82.78,13,1,Critique
C001416,Rabat,82.71,13,1,Critique
C001249,Rabat,82.69,23,2,Critique
C000474,Rabat,82.67,33,1,Critique
C001845,Rabat,82.67,38,1,Critique
