iter	Passed	Remaining
0	193	57931
1	226	33790
2	259	25674
3	290	21466
4	324	19118
5	356	17449
6	390	16348
7	427	15598
8	457	14806
9	489	14186
10	521	13697
11	557	13371
12	590	13036
13	624	12761
14	658	12518
15	693	12306
16	726	12094
17	759	11904
18	793	11730
19	826	11565
20	858	11410
21	894	11308
22	929	11192
23	962	11074
24	996	10958
25	1029	10846
26	1064	10759
27	1097	10663
28	1131	10574
29	1165	10486
30	1199	10409
31	1232	10322
32	1268	10259
33	1303	10195
34	1337	10125
35	1372	10066
36	1404	9980
37	1436	9906
38	1467	9822
39	1499	9748
40	1532	9681
41	1567	9631
42	1601	9569
43	1635	9514
44	1667	9448
45	1700	9392
46	1733	9331
47	1766	9275
48	1800	9223
49	1833	9169
50	1868	9122
51	1902	9073
52	1935	9021
53	1970	8976
54	2004	8929
55	2040	8890
56	2071	8832
57	2106	8789
58	2137	8732
59	2169	8676
60	2200	8623
61	2239	8595
62	2272	8549
63	2305	8501
64	2338	8453
65	2373	8416
66	2406	8368
67	2438	8320
68	2473	8281
69	2506	8236
70	2542	8201
71	2574	8153
72	2608	8112
73	2642	8069
74	2675	8026
75	2705	7975
76	2737	7929
77	2773	7893
78	2806	7851
79	2839	7807
80	2872	7765
81	2905	7724
82	2937	7680
83	2968	7633
84	3001	7591
85	3034	7549
86	3064	7503
87	3098	7465
88	3130	7421
89	3162	7379
90	3194	7336
91	3225	7293
92	3257	7250
93	3290	7212
94	3323	7172
95	3356	7133
96	3388	7091
97	3421	7051
98	3453	7010
99	3485	6971
100	3519	6935
101	3552	6896
102	3588	6864
103	3620	6823
104	3652	6782
105	3682	6739
106	3714	6700
107	3746	6661
108	3779	6623
109	3813	6586
110	3847	6550
111	3879	6512
112	3910	6471
113	3945	6437
114	4000	6435
115	4036	6403
116	4070	6366
117	4104	6330
118	4137	6293
119	4170	6255
120	4204	6219
121	4238	6183
122	4274	6150
123	4309	6116
124	4342	6080
125	4377	6045
126	4410	6008
127	4443	5970
128	4480	5939
129	4516	5906
130	4552	5873
131	4587	5838
132	4618	5799
133	4652	5763
134	4685	5726
135	4719	5690
136	4749	5651
137	4783	5615
138	4815	5578
139	4849	5542
140	4881	5504
141	4915	5469
142	4951	5436
143	4985	5401
144	5017	5363
145	5051	5328
146	5082	5290
147	5113	5251
148	5143	5212
149	5175	5175
150	5209	5140
151	5243	5105
152	5278	5071
153	5310	5034
154	5342	4997
155	5374	4961
156	5409	4927
157	5443	4892
158	5476	4856
159	5509	4820
160	5545	4788
161	5580	4753
162	5612	4716
163	5644	4680
164	5677	4645
165	5710	4609
166	5743	4573
167	5777	4539
168	5811	4505
169	5845	4469
170	5878	4434
171	5910	4398
172	5945	4364
173	5976	4328
174	6011	4294
175	6041	4256
176	6075	4221
177	6109	4187
178	6139	4150
179	6170	4113
180	6203	4078
181	6238	4045
182	6273	4010
183	6306	3975
184	6338	3940
185	6371	3905
186	6405	3870
187	6436	3834
188	6469	3799
189	6503	3765
190	6536	3730
191	6568	3694
192	6600	3659
193	6634	3625
194	6669	3591
195	6700	3555
196	6734	3520
197	6768	3486
198	6802	3452
199	6836	3418
200	6868	3382
201	6904	3349
202	6935	3314
203	6966	3278
204	7001	3244
205	7033	3209
206	7066	3174
207	7097	3139
208	7129	3104
209	7162	3069
210	7195	3035
211	7229	3000
212	7262	2966
213	7299	2933
214	7335	2899
215	7367	2865
216	7404	2832
217	7438	2798
218	7474	2764
219	7508	2730
220	7542	2696
221	7575	2661
222	7608	2627
223	7642	2593
224	7677	2559
225	7711	2524
226	7744	2490
227	7777	2455
228	7810	2421
229	7843	2387
230	7877	2353
231	7909	2318
232	7945	2284
233	7980	2250
234	8010	2215
235	8042	2181
236	8075	2146
237	8107	2111
238	8139	2077
239	8171	2042
240	8207	2009
241	8241	1975
242	8271	1940
243	8302	1905
244	8335	1871
245	8369	1837
246	8402	1802
247	8433	1768
248	8468	1734
249	8500	1700
250	8533	1665
251	8567	1631
252	8602	1598
253	8636	1564
254	8670	1530
255	8705	1496
256	8738	1462
257	8771	1427
258	8804	1393
259	8837	1359
260	8872	1325
261	8903	1291
262	8941	1257
263	8974	1223
264	9009	1189
265	9042	1155
266	9075	1121
267	9108	1087
268	9142	1053
269	9174	1019
270	9205	985
271	9238	951
272	9271	916
273	9303	882
274	9337	848
275	9372	815
276	9406	781
277	9441	747
278	9475	713
279	9509	679
280	9542	645
281	9576	611
282	9608	577
283	9640	543
284	9675	509
285	9710	475
286	9746	441
287	9780	407
288	9813	373
289	9847	339
290	9880	305
291	9915	271
292	9948	237
293	9980	203
294	10016	169
295	10048	135
296	10081	101
297	10114	67
298	10147	33
299	10182	0
