CustomerID,TypeService,TypeClient,Province,Ville,Quartier,Mois,Date,IndexPrecedent,IndexActuel,Consommation,MontantFacture,StatutPaiement,AnomalyScore,SuspectFlag,TypeSuspect
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-02,2017-02-01,26058.67,26138.09,79.42000000000189,141.53,En retard,0.2459,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-03,2017-03-01,26138.09,26233.67,95.57999999999811,165.81,Payé,0.1267,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-04,2017-04-01,26233.67,26351.41,117.7400000000016,162.07,En retard,0.1725,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-05,2017-05-01,26351.41,26494.21,142.79999999999927,192.72,Impayé,0.1473,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-06,2017-06-01,26494.21,26648.84,154.63000000000102,221.58,Payé,0.0356,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-07,2017-07-01,97717.56,26849.51,200.66,272.77,Payé,0.1262,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-08,2017-08-01,26849.51,27006.91,157.40000000000146,208.62,Payé,0.0495,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-09,2017-09-01,27006.91,27174.72,167.8100000000013,217.06,Payé,0.1531,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Shoul,2017-10,2017-10-01,27174.72,27324.62,149.89999999999782,199.24,Payé,0.1249,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-11,2017-11-01,27324.62,27435.26,110.63999999999942,177.62,Payé,0.1106,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-12,2017-12-01,27435.26,27540.22,104.96000000000276,156.39,Payé,0.1162,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-01,2018-01-01,27540.22,27636.84,96.61999999999898,138.5,Payé,0.2353,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-02,2018-02-01,27636.84,27711.67,74.82999999999811,116.86,En retard,0.3626,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-03,2018-03-01,27711.67,27820.08,108.41000000000349,167.34,Payé,0.0,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-04,2018-04-01,27820.08,27928.34,108.2599999999984,156.96,Impayé,0.0424,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-05,2018-05-01,27928.34,28077.62,149.27999999999884,198.81,Payé,0.4087,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-06,2018-06-01,28077.62,28235.88,158.26000000000204,208.26,Payé,0.2692,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-07,2018-07-01,28235.88,28403.72,167.84000000000015,232.11,Payé,0.1175,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-08,2018-08-01,28403.72,28541.79,138.0699999999997,183.04,Payé,0.2123,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-09,2018-09-01,28541.79,28695.99,154.20000000000073,190.57,Payé,0.2622,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-10,2018-10-01,28695.99,28818.26,122.2699999999968,186.95,Payé,0.1238,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-11,2018-11-01,28818.26,28967.93,149.6700000000019,218.12,En retard,0.1371,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2018-12,2018-12-01,28967.93,29082.31,114.38000000000102,183.43,Payé,0.0,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2019-01,2019-01-01,29082.31,29169.16,86.84999999999854,151.26,Payé,0.3995,0,Aucune
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2019-02,2019-02-01,97717.56,29240.19,71.03,132.72,Payé,0.6432,0,Aucune
